anime_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
21,,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",,,TV,,,Fall 1999,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,95.0,31,1352724,126645,887333,33,187919,136245,141194,292445.0,166186.0,141755.0,85424.0,35342.0,19019.0,8201.0,3675.0,2616.0,6340.0
235,,8.16,"Adventure, Mystery, Comedy, Police, Shounen",,,TV,,,Winter 1996,"Yomiuri Telecasting, Animax, YTV, TMS-Kyokuchi, Shogakukan","Funimation, Crunchyroll",TMS Entertainment,Manga,25 min.,PG-13 - Teens 13 or older,349.0,580,252940,11827,116021,9,55211,36141,45558,27670.0,25632.0,31481.0,21333.0,7803.0,3401.0,993.0,415.0,254.0,469.0
966,,7.69,"Slice of Life, Comedy, Ecchi, School, Seinen",,,TV,,,Spring 1992,TV Asahi,Funimation,Shin-Ei Animation,Manga,21 min.,PG - Children,1054.0,2060,57907,948,21706,7,12812,13402,9980,5422.0,4655.0,6762.0,6457.0,2788.0,1314.0,501.0,256.0,216.0,325.0
1199,,7.03,"Comedy, Kids",,,TV,,,Spring 1993,NHK,Unknown,Ajia-Do,Manga,10 min.,G - All Ages,3517.0,6359,5279,67,1438,1,823,1209,1808,209.0,202.0,311.0,515.0,315.0,129.0,41.0,21.0,9.0,34.0
1960,,6.38,"Comedy, Kids, Fantasy",,,TV,,,Fall 1988,Sotsu,Unknown,TMS Entertainment,Picture book,24 min.,PG - Children,6522.0,8580,2241,17,553,2,294,696,696,82.0,57.0,80.0,163.0,163.0,118.0,29.0,19.0,16.0,31.0
2406,,6.09,"Slice of Life, Comedy",,,TV,,,Fall 1969,Fuji TV,Unknown,Eiken,4-koma manga,24 min.,G - All Ages,7844.0,6259,5481,23,1356,1,473,1215,2436,154.0,64.0,127.0,226.0,249.0,172.0,69.0,38.0,38.0,100.0
4459,,6.37,"Adventure, Comedy, Kids, Fantasy",,,TV,,,Fall 1998,NHK,Enoki Films,Gallop,Original,10 min.,G - All Ages,6531.0,9942,1274,5,366,0,145,364,399,35.0,30.0,35.0,67.0,73.0,65.0,21.0,8.0,10.0,21.0
6149,,7.18,"Slice of Life, Comedy, Kids, School",,,TV,,,Winter 1995,Sakura Production,Unknown,Nippon Animation,Manga,23 min.,G - All Ages,2833.0,7798,3052,27,994,1,464,635,958,173.0,125.0,209.0,247.0,127.0,74.0,26.0,10.0,10.0,34.0
7505,,6.14,"Comedy, Kids, Drama, Fantasy",,,TV,,,Spring 1995,NHK,Unknown,Unknown,Unknown,5 min.,PG - Children,7624.0,11558,634,2,196,0,48,131,259,19.0,8.0,23.0,48.0,24.0,31.0,8.0,5.0,8.0,14.0
8336,,,"Comedy, Kids",,,TV,,,Spring 2010,"Group TAC, TOHO animation",Unknown,"Xebec, OLM",Picture book,10 min.,PG - Children,14277.0,12327,467,1,127,0,41,130,169,9.0,2.0,7.0,15.0,12.0,19.0,2.0,3.0,5.0,12.0
8687,,7.52,"Sci-Fi, Comedy, Kids, Shounen",,,TV,,,Spring 2005,TV Asahi,Unknown,Shin-Ei Animation,Manga,25 min.,PG - Children,1512.0,4562,12037,159,4970,5,1915,2485,2662,988.0,691.0,1250.0,1373.0,637.0,339.0,82.0,51.0,25.0,60.0
10506,,,Comedy,,,TV,,,Spring 2011,Unknown,Unknown,Kachidoki Studio,Original,Unknown,Unknown,11945.0,12128,503,1,89,0,17,181,216,4.0,1.0,1.0,3.0,4.0,7.0,2.0,1.0,1.0,11.0
18941,,,"Adventure, Comedy, Fantasy, Kids, Magic",,,TV,,,Spring 2012,Unknown,Unknown,The Answer Studio,Other,25 min.,G - All Ages,11967.0,13453,307,0,71,0,13,97,126,7.0,,1.0,3.0,6.0,7.0,4.0,1.0,4.0,5.0
22669,,,"Action, Comedy, Kids",,,TV,,,Spring 2011,Unknown,Unknown,DLE,Original,30 sec.,G - All Ages,14170.0,13972,265,0,64,0,13,78,110,4.0,,,1.0,2.0,3.0,6.0,1.0,5.0,10.0
23539,,7.05,"Comedy, Kids",,,TV,,,Spring 2014,Sanrio,Unknown,Gathering,Original,1 min.,G - All Ages,3463.0,5102,9106,55,2293,2,911,841,5059,380.0,134.0,270.0,418.0,259.0,152.0,56.0,22.0,38.0,56.0
23733,,,"Slice of Life, Comedy",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Unknown,20 min.,PG-13 - Teens 13 or older,15171.0,13424,310,1,68,0,21,30,191,3.0,,1.0,3.0,2.0,8.0,4.0,5.0,4.0,8.0
24023,,,Drama,,,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,10238,1118,0,0,0,0,0,1118,,,,,,,,,,
24773,,,"Slice of Life, Comedy",,,ONA,,,Unknown,Unknown,Unknown,Kachidoki Studio,Original,2 min.,G - All Ages,11232.0,14441,231,0,52,0,7,54,118,4.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,5.0,6.0
24775,,,"Slice of Life, Kids",,,TV,,,Unknown,Unknown,Unknown,Kachidoki Studio,Original,1 min.,G - All Ages,15103.0,14711,210,0,31,16,6,64,93,5.0,1.0,,1.0,3.0,5.0,2.0,2.0,1.0,3.0
24977,,,Comedy,,,ONA,,,Unknown,Unknown,Unknown,DLE,Original,2 min.,G - All Ages,14874.0,13973,265,1,68,0,22,65,110,4.0,1.0,,5.0,4.0,6.0,11.0,4.0,2.0,6.0
28205,,6.45,"Kids, Magic",,,ONA,,,Unknown,FILMONY,Unknown,Studio Colorido,Original,6 min.,G - All Ages,6170.0,6357,5252,3,1942,0,1181,575,1554,92.0,154.0,311.0,703.0,606.0,367.0,132.0,53.0,37.0,16.0
29361,,,"Slice of Life, Comedy, Kids",,,TV,,,Unknown,Unknown,Unknown,Kachidoki Studio,Original,1 min.,PG - Children,14888.0,14590,217,0,34,19,5,63,96,3.0,1.0,,2.0,5.0,3.0,4.0,1.0,1.0,5.0
29375,,,"Adventure, Comedy, Kids, Mecha",,,TV,,,Spring 1995,NHK,Unknown,Unknown,Unknown,5 min.,G - All Ages,11744.0,14970,198,0,56,0,10,57,75,4.0,,2.0,6.0,2.0,4.0,5.0,2.0,,6.0
29421,,,"Adventure, Kids",,,TV,,,Winter 2013,NHK,Unknown,Unknown,Unknown,5 min.,G - All Ages,15335.0,15183,187,0,50,0,12,57,68,3.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,7.0
29643,,5.89,Magic,,,Special,,,Unknown,Poncotan,Unknown,Unknown,Unknown,22 min.,Unknown,8560.0,6874,4330,10,486,0,251,222,3371,29.0,10.0,27.0,61.0,60.0,38.0,20.0,17.0,12.0,15.0
30088,,6.7,Slice of Life,,,Special,,,Unknown,Robot Communications,Unknown,Studio Colorido,Original,1 min.,G - All Ages,4913.0,9306,1673,3,456,0,367,132,718,42.0,40.0,105.0,159.0,110.0,63.0,16.0,6.0,9.0,11.0
30119,,,Kids,,,TV,,,Winter 2013,NHK,Unknown,Unknown,Original,1 min.,PG - Children,13043.0,14522,226,0,50,0,10,85,81,4.0,,,1.0,4.0,5.0,,1.0,2.0,7.0
30129,,,Kids,,,TV,,,Spring 1986,NHK,Unknown,Unknown,Unknown,1 min.,PG - Children,15135.0,16087,133,0,10,34,5,43,41,4.0,1.0,5.0,1.0,3.0,6.0,2.0,,,3.0
30151,,,"Slice of Life, Comedy",,,TV,,,Fall 2012,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,14869.0,11327,700,0,137,1,29,193,340,8.0,3.0,2.0,5.0,8.0,9.0,4.0,2.0,2.0,15.0
30154,,,"Slice of Life, Comedy",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,14852.0,15059,193,0,49,0,16,52,76,4.0,,,2.0,6.0,10.0,1.0,3.0,1.0,8.0
30223,,,"Horror, Supernatural, School, Seinen",,,TV,,,Unknown,Unknown,Unknown,Pierrot Plus,Novel,Unknown,Unknown,,5969,6184,4,0,0,0,0,6184,,,,,,,,,,
30448,,,Sci-Fi,,,Unknown,,,Unknown,Unknown,Unknown,Sunrise,Original,Unknown,Unknown,,5045,9384,7,0,0,0,0,9384,,,,,,,,,,
30455,,,"Action, Military, Sci-Fi, Slice of Life, School",,,Unknown,,,Unknown,Unknown,Unknown,Unknown,Game,Unknown,PG-13 - Teens 13 or older,,2865,32484,105,0,0,0,0,32484,,,,,,,,,,
31150,,6.03,"Adventure, Comedy, Kids",,,TV,,,Unknown,"Creative Power Entertaining, Alpha Group Co. Ltd.",Unknown,Unknown,Unknown,15 min.,G - All Ages,8108.0,12469,442,1,128,1,50,172,91,22.0,9.0,12.0,28.0,32.0,22.0,8.0,7.0,8.0,20.0
31397,,6.85,Hentai,,,OVA,,,Unknown,Unknown,Unknown,PoRO,Visual novel,17 min.,Rx - Hentai,,5312,8228,49,4747,2,962,507,2010,333.0,268.0,504.0,731.0,568.0,294.0,114.0,79.0,50.0,42.0
31445,,,"Comedy, Parody, School, Seinen",,,TV,,,Unknown,Unknown,Unknown,Unknown,4-koma manga,Unknown,PG-13 - Teens 13 or older,,11309,711,0,0,0,0,0,711,,,,,,,,,,
